GEO (Codes),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
DE50,"651,467","652,182","654,774","657,391","661,888","671,489","678,753","681,032","682,986","681,202","680,130","676,463",
DE60,"1,705,700","1,718,187","1,734,272","1,746,342","1,762,791","1,787,408","1,810,438","1,830,584","1,841,179","1,847,253","1,852,478","1,853,935",
DE71,"3,734,199","3,763,611","3,791,381","3,822,479","3,863,818","3,922,369","3,951,234","3,978,050","3,998,724","4,019,961","4,026,618","4,026,564",
DE72,"1,027,159","1,025,525","1,023,277","1,023,150","1,029,020","1,040,091","1,043,643","1,045,807","1,047,262","1,048,646","1,048,740","1,050,765",
DE73,"1,208,050","1,204,635","1,201,823","1,199,796","1,201,050","1,213,712","1,218,211","1,219,405","1,219,823","1,219,473","1,217,796","1,217,688",
DE80,"1,614,789","1,606,899","1,600,327","1,596,505","1,599,138","1,612,362","1,610,674","1,611,119","1,609,675","1,608,138","1,610,774","1,611,160",
DE91,"1,579,623","1,575,968","1,574,527","1,574,936","1,579,754","1,598,164","1,595,609","1,595,734","1,596,396","1,594,929","1,590,577","1,591,424",
DE92,"2,093,945","2,093,431","2,094,931","2,099,079","2,108,413","2,132,290","2,139,976","2,144,120","2,149,805","2,148,238","2,147,704","2,149,859",
DE93,"1,669,999","1,667,127","1,667,332","1,670,199","1,677,715","1,699,969","1,703,945","1,706,464","1,710,914","1,716,448","1,722,474","1,731,531",
DE94,"2,435,261","2,437,727","2,442,205","2,446,345","2,460,857","2,496,176","2,506,155","2,516,457","2,525,333","2,533,993","2,542,666","2,554,217",
DEA1,"5,081,231","5,077,103","5,081,061","5,088,748","5,108,290","5,173,623","5,190,790","5,198,820","5,202,321","5,207,457","5,200,090","5,197,679",
DEA2,"4,282,911","4,299,064","4,315,912","4,333,015","4,361,724","4,422,371","4,439,416","4,454,228","4,468,904","4,478,847","4,475,530","4,472,956",
DEA3,"2,568,358","2,572,221","2,572,390","2,574,148","2,580,664","2,614,229","2,619,376","2,621,153","2,623,619","2,624,625","2,624,719","2,631,237",
DEA4,"2,031,337","2,027,126","2,025,415","2,024,392","2,029,648","2,057,996","2,054,205","2,054,343","2,055,310","2,055,724","2,054,178","2,057,480",
DEA5,"3,581,355","3,569,424","3,559,551","3,551,553","3,557,772","3,597,297","3,586,313","3,583,590","3,582,497","3,580,568","3,571,053","3,565,239",
DEB1,"1,486,160","1,480,166","1,476,237","1,474,378","1,477,202","1,488,308","1,492,187","1,493,055","1,495,885","1,498,223","1,500,830","1,503,189",
DEB2,"518,554","518,370","518,289","519,136","521,863","532,715","528,728","529,597","531,007","533,113","534,438","536,772",
