GEO (Codes),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
PL42,"1,697,166","1,695,822","1,694,560","1,691,400","1,688,486","1,684,025","1,681,246","1,678,873","1,675,502","1,671,605","1,664,056",:,
PL43,"1,010,700","1,010,421","1,010,582","1,008,564","1,007,442","1,005,159","1,004,892","1,004,127","1,003,310","1,001,411","996,912",:,
PL51,"2,878,103","2,876,855","2,875,180","2,869,579","2,868,338","2,864,624","2,866,218","2,865,358","2,865,072","2,864,809","2,857,364",:,
PL52,"972,986","969,541","966,167","960,226","956,913","952,557","950,710","948,808","946,038","942,233","936,000",:,
PL61,"2,075,129","2,074,398","2,072,655","2,068,417","2,065,846","2,062,006","2,060,575","2,059,748","2,055,433","2,050,976","2,041,485",:,
PL62,"1,428,620","1,427,162","1,425,897","1,421,264","1,418,541","1,414,734","1,410,641","1,408,415","1,404,441","1,399,038","1,392,092",:,
PL63,"2,245,568","2,253,048","2,259,485","2,264,817","2,271,559","2,277,059","2,285,800","2,294,926","2,305,077","2,316,135","2,318,867",:,
PL71,:,:,:,"2,498,861","2,489,844","2,479,350","2,471,620","2,462,448","2,453,167","2,442,685","2,425,669",:,
PL72,:,:,:,"1,253,041","1,247,951","1,241,895","1,237,518","1,232,016","1,226,243","1,218,743","1,209,147",:,
PL81,:,:,:,"2,134,413","2,126,310","2,118,528","2,112,787","2,105,442","2,097,294","2,088,292","2,074,508",:,
PL82,:,:,:,"2,083,546","2,084,264","2,083,496","2,084,722","2,085,877","2,086,135","2,084,447","2,078,146",:,
PL84,:,:,:,"1,165,447","1,162,369","1,158,945","1,156,947","1,154,856","1,152,074","1,149,389","1,144,005",:,
PL91,:,:,:,"2,937,140","2,960,058","2,979,942","3,002,278","3,025,034","3,053,104","3,082,399","3,095,025",:,
PL92,:,:,:,"2,355,427","2,349,720","2,343,325","2,339,206","2,334,793","2,327,207","2,319,035","2,306,192",:,
PT11,"3,693,585","3,687,224","3,666,234","3,644,195","3,621,785","3,603,778","3,584,575","3,576,205","3,572,583","3,575,338","3,566,374","3,587,882",bp
PT15,"451,304","446,140","444,390","442,358","441,468","441,929","441,469","439,617","438,864","438,406","437,970","465,701",bp
PT16,"2,331,642","2,316,169","2,298,938","2,281,164","2,263,992","2,256,364","2,243,934","2,231,346","2,216,569","2,217,285","2,229,331","2,235,752",bp
PT17,"2,822,761","2,827,050","2,818,388","2,807,525","2,809,168","2,812,678","2,821,349","2,833,679","2,846,332","2,863,272","2,869,033","2,869,627",bp
PT18,"758,707","754,385","748,699","743,306","733,370","724,391","718,087","711,950","705,478","704,558","699,420","705,410",bp
PT20,"246,757","247,194","247,549","247,440","246,353","245,766","245,283","243,862","242,846","242,796","242,201","236,488",bp
PT30,"267,965","264,236","263,091","261,313","258,686","256,424","254,876","254,368","253,945","254,254","253,923","251,182",bp
RO11,"2,717,532","2,598,877","2,594,823","2,590,220","2,585,543","2,576,567","2,568,282","2,560,504","2,552,112","2,547,429","2,537,017",:,
RO12,"2,522,692","2,360,578","2,359,405","2,355,312","2,350,147","2,341,964","2,332,785","2,325,371","2,318,272","2,314,826","2,302,833",:,
RO21,"3,703,283","3,294,204","3,278,798","3,273,367","3,269,598","3,256,734","3,239,540","3,222,732","3,198,564","3,184,215","3,163,465",:,
RO22,"2,802,532","2,538,949","2,523,354","2,509,094","2,492,352","2,469,868","2,447,270","2,423,059","2,396,171","2,377,101","2,351,636",:,
RO31,"3,253,712","3,128,799","3,108,150","3,085,095","3,061,286","3,031,555","3,003,394","2,965,415","2,929,832","2,901,376","2,868,994",:,
RO32,"2,267,419","2,279,145","2,282,244","2,282,968","2,284,200","2,288,203","2,287,208","2,302,291","2,315,173","2,322,002","2,327,057",:,
RO41,"2,232,814","2,067,357","2,048,702","2,033,360","2,015,766","1,993,482","1,972,979","1,949,813","1,926,860","1,910,409","1,892,078",:,
RO42,"1,913,831","1,828,087","1,824,598","1,817,895","1,811,755","1,802,212","1,792,491","1,784,296","1,777,474","1,771,480","1,758,582",:,
SI03,"1,098,506","1,099,196","1,097,198","1,094,709","1,093,545","1,092,193","1,091,159","1,089,717","1,094,435","1,100,012","1,105,046",:,
SI04,"951,683","956,300","961,623","966,376","969,329","971,995","974,736","977,163","986,473","995,849","1,003,931",:,
SK01,"599,931","606,537","612,682","618,380","625,167","633,288","641,892","650,838","659,598","669,592","677,024",:,
SK02,"1,838,786","1,839,259","1,838,136","1,836,664","1,834,832","1,832,159","1,830,751","1,828,428","1,826,145","1,823,792","1,819,399",:,
SK03,"1,349,286","1,349,729","1,348,611","1,347,233","1,345,808","1,343,458","1,342,287","1,340,811","1,339,242","1,336,785","1,334,238",:,
SK04,"1,604,443","1,608,797","1,611,407","1,613,672","1,615,542","1,617,347","1,620,413","1,623,043","1,625,436","1,627,704","1,629,120",:,
FI19,"1,360,041","1,365,259","1,370,384","1,374,403","1,377,281","1,379,116","1,380,593","1,380,365","1,379,749","1,378,652","1,378,851",:,
FI1B,"1,532,309","1,549,058","1,566,835","1,585,473","1,603,388","1,620,261","1,638,293","1,655,624","1,671,024","1,689,725","1,702,678",:,
FI1C,"1,156,791","1,159,039","1,160,732","1,161,882","1,161,706","1,160,491","1,159,174","1,157,001","1,152,719","1,148,794","1,147,484",:,
FI1D,"1,298,128","1,299,557","1,300,222","1,300,846","1,300,462","1,298,457","1,296,023","1,290,651","1,284,638","1,278,237","1,274,651",:,
FI20,"28,007","28,354","28,501","28,666","28,916","28,983","29,214","29,489","29,789","29,884","30,129",:,
SE11,"2,054,343","2,091,473","2,127,006","2,163,042","2,198,044","2,231,439","2,269,060","2,308,143","2,344,124","2,377,081","2,391,990",:,
SE12,"1,569,248","1,578,097","1,589,821","1,605,347","1,621,566","1,638,825","1,664,145","1,687,810","1,708,813","1,727,398","1,737,737",:,
SE21,"811,611","812,948","815,792","819,426","826,243","834,276","847,667","856,887","864,630","870,200","873,407",:,
SE22,"1,396,556","1,405,912","1,415,403","1,426,826","1,443,065","1,459,880","1,483,018","1,504,060","1,521,848","1,537,433","1,548,392",:,
SE23,"1,879,781","1,892,328","1,904,563","1,921,924","1,942,677","1,963,466","1,992,116","2,015,607","2,039,166","2,059,729","2,071,191",:,
SE31,"826,820","825,431","826,272","829,134","833,585","838,747","848,451","852,201","855,220","857,762","858,063",:,
SE32,"369,316","368,454","368,182","368,617","369,826","371,273","374,245","375,774","375,733","376,157","375,709",:,
SE33,"507,895","508,212","508,854","510,548","512,349","513,111","516,451","519,760","520,651","521,829","522,806",:,
IS00,"318,452","319,575","321,857","325,671","329,100","332,529","338,349","348,450","356,991","364,134","368,792","376,248",
LI00,"36,149","36,475","36,838","37,129","37,366","37,622","37,810","38,114","38,378","38,747","39,055",:,
NO01,"1,144,883","1,169,539","1,190,365","1,209,992","1,232,854","1,251,687","1,271,127","1,287,495","1,305,122","1,326,682",:,:,
NO02,"377,709","379,938","380,973","382,230","383,985","384,221","385,669","386,836","386,951","387,285","370,603",:,
NO03,"938,827","949,963","960,653","969,415","976,682","984,764","992,962","999,639","1,005,070","1,011,472",:,:,
NO04,"718,543","728,934","741,284","751,632","762,031","768,179","772,813","777,279","780,898","787,123",:,:,
NO05,"845,886","855,399","866,239","875,475","884,316","890,719","896,503","899,627","901,689","905,335",:,:,
NO06,"426,206","431,340","437,198","441,193","445,838","449,457","454,596","458,742","462,032","465,136","471,124",:,
NO07,"468,251","470,757","474,563","478,033","480,787","481,694","484,647","486,001","486,450","484,547","482,513",:,
NO08,:,:,:,:,:,:,:,:,:,:,"1,949,394",:,
NO09,:,:,:,:,:,:,:,:,:,:,"730,725",:,
NO0A,:,:,:,:,:,:,:,:,:,:,"1,387,010",:,
CH01,"1,483,680","1,503,500","1,519,189","1,545,817","1,570,594","1,593,839","1,613,522","1,629,841","1,642,580","1,654,751","1,669,608","1,685,625",
CH02,"1,755,696","1,770,429","1,788,791","1,808,480","1,826,251","1,842,251","1,859,557","1,868,886","1,877,154","1,886,584","1,895,693","1,907,491",
CH03,"1,070,820","1,079,913","1,091,302","1,104,353","1,117,158","1,128,723","1,142,156","1,151,919","1,161,105","1,171,157","1,181,776","1,191,939",
CH04,"1,373,068","1,392,396","1,408,575","1,425,538","1,446,354","1,466,424","1,487,969","1,504,346","1,520,968","1,539,275","1,553,423","1,564,662",
CH05,"1,103,641","1,113,929","1,123,672","1,134,781","1,144,572","1,153,485","1,162,684","1,169,358","1,176,321","1,183,813","1,193,069","1,203,715",
CH06,"749,476","757,552","765,879","774,123","782,374","790,458","799,287","806,071","813,056","818,962","825,745","833,178",
CH07,"333,753","336,943","341,652","346,539","350,363","351,946","354,375","353,709","353,343","351,491","350,986","352,181",
UKC1,"1,173,646","1,177,121","1,179,963","1,183,175","1,186,123","1,190,177","1,194,437","1,197,992","1,201,543",:,:,:,
UKC2,"1,417,980","1,422,315","1,426,640","1,431,607","1,435,643","1,440,477","1,446,249","1,450,223","1,455,437",:,:,:,
UKD1,"499,952","499,524","498,860","498,463","498,545","498,745","498,641","498,216","498,083",:,:,:,
UKD3,"2,673,791","2,693,358","2,707,445","2,721,819","2,741,974","2,767,348","2,789,735","2,808,080","2,822,003",:,:,:,
UKD4,"1,459,318","1,463,274","1,466,592","1,469,371","1,473,818","1,480,296","1,487,102","1,490,434","1,495,318",:,:,:,
UKD6,"901,375","904,677","907,796","911,368","915,471","919,711","924,261","927,799","931,347",:,:,:,
UKD7,"1,503,567","1,509,368","1,513,266","1,517,171","1,524,173","1,533,376","1,541,473","1,547,607","1,553,324",:,:,:,
UKE1,"916,612","919,564","921,510","922,928","924,558","926,818","929,189","931,065","932,645",:,:,:,
UKE2,"796,538","801,039","804,925","807,558","810,048","814,066","818,141","820,874","824,054",:,:,:,
UKE3,"1,338,373","1,348,096","1,355,465","1,362,340","1,370,817","1,380,458","1,389,426","1,397,266","1,404,971",:,:,:,
UKE4,"2,220,015","2,233,863","2,245,499","2,256,217","2,269,744","2,286,357","2,301,000","2,313,390","2,324,560",:,:,:,
UKF1,"2,104,311","2,116,662","2,129,007","2,141,903","2,155,431","2,170,611","2,187,643","2,199,851","2,210,381",:,:,:,
UKF2,"1,704,627","1,719,017","1,732,295","1,747,794","1,767,307","1,789,613","1,812,852","1,828,762","1,843,764",:,:,:,
UKF3,"713,322","716,973","721,847","728,205","734,643","741,087","747,996","752,671","756,920",:,:,:,
UKG1,"1,293,901","1,299,764","1,305,682","1,312,357","1,319,504","1,327,386","1,338,055","1,344,393","1,352,539",:,:,:,
UKG2,"1,567,473","1,575,136","1,581,454","1,588,088","1,594,600","1,603,003","1,613,788","1,619,877","1,626,956",:,:,:,
UKG3,"2,725,810","2,750,805","2,771,841","2,793,881","2,820,216","2,852,553","2,883,905","2,908,821","2,928,377",:,:,:,
UKH1,"2,385,006","2,403,234","2,416,785","2,434,456","2,456,564","2,475,882","2,493,326","2,509,078","2,521,676",:,:,:,
UKH2,"1,726,575","1,745,325","1,763,546","1,784,776","1,806,939","1,827,766","1,841,673","1,859,787","1,871,847",:,:,:,
UKH3,"1,723,421","1,735,578","1,748,546","1,765,271","1,782,982","1,798,750","1,813,609","1,828,948","1,841,887",:,:,:,
UKI3,"1,089,392","1,099,576","1,108,567","1,120,811","1,138,443","1,153,642","1,163,136","1,173,602","1,190,513",:,:,:,
UKI4,"2,121,080","2,165,178","2,205,293","2,248,524","2,294,960","2,337,518","2,367,065","2,402,934","2,430,890",:,:,:,
UKI5,"1,752,126","1,778,692","1,800,748","1,826,033","1,853,173","1,880,090","1,899,556","1,924,106","1,940,638",:,:,:,
UKI6,"1,220,637","1,234,689","1,249,370","1,263,221","1,276,233","1,288,011","1,295,666","1,308,866","1,316,772",:,:,:,
UKI7,"1,950,290","1,978,433","1,999,117","2,019,780","2,040,301","2,058,984","2,071,842","2,090,315","2,103,443",:,:,:,
UKJ1,"2,264,895","2,284,847","2,304,318","2,325,301","2,347,205","2,368,548","2,385,514","2,402,507","2,417,428",:,:,:,
UKJ2,"2,733,391","2,755,648","2,778,314","2,802,800","2,827,820","2,852,269","2,871,387","2,892,767","2,909,838",:,:,:,
UKJ3,"1,894,162","1,908,507","1,920,223","1,932,133","1,946,199","1,961,230","1,973,952","1,985,074","1,993,050",:,:,:,
UKJ4,"1,723,082","1,739,802","1,756,070","1,773,140","1,790,347","1,807,834","1,824,794","1,840,563","1,854,717",:,:,:,
UKK1,"2,342,716","2,362,209","2,382,428","2,404,752","2,429,519","2,453,872","2,474,784","2,496,022","2,516,568",:,:,:,
UKK2,"1,271,821","1,280,933","1,288,448","1,295,993","1,304,470","1,313,859","1,322,286","1,329,868","1,336,003",:,:,:,
UKK3,"534,024","538,254","542,252","546,137","550,437","555,014","560,526","564,588","568,612",:,:,:,
UKK4,"1,132,530","1,138,922","1,145,447","1,153,568","1,162,981","1,171,558","1,180,517","1,187,825","1,195,198",:,:,:,
UKL1,"1,930,295","1,936,308","1,940,620","1,944,635","1,948,946","1,954,376","1,960,764","1,963,646","1,968,383",:,:,:,
UKL2,"1,126,355","1,132,607","1,137,738","1,142,724","1,146,757","1,151,846","1,158,491","1,162,876","1,168,000",:,:,:,
UKM5,"473,634","478,294","482,660","487,150","490,875","492,173","491,323","494,624","495,365",:,:,:,
UKM6,"465,794","466,605","466,737","467,326","467,889","468,903","469,420","470,743","470,990",:,:,:,
UKM7,:,"1,915,517","1,924,614","1,933,992","1,946,564","1,961,928","1,976,392","1,988,307","1,998,699",:,:,:,
UKM8,:,"1,499,887","1,500,987","1,504,303","1,510,438","1,520,628","1,531,216","1,536,415","1,541,998",:,:,:,
UKM9,:,"946,492","945,666","944,842","944,507","945,233","946,372","946,837","947,186",:,:,:,
UKN0,"1,809,539","1,818,995","1,826,761","1,835,290","1,846,229","1,857,048","1,866,638","1,875,957",:,:,:,:,
ME00,"619,850","620,308","620,893","621,521","622,099","622,218","622,387","622,359","622,182","621,873","620,739","617,683",
MK00,"2,057,284","2,059,794","2,062,294","2,065,410","2,068,864","2,070,998","2,073,483","2,075,108","2,076,953","2,076,087","2,068,658","1,837,114",
MKXX,:,:,:,359,308,280,219,193,179,168,:,:,
AL01,:,:,:,:,:,"848,059","826,904","819,793","813,758","804,689","797,955",:,
AL02,:,:,:,:,:,"1,110,562","1,146,183","1,162,544","1,170,142","1,176,240","1,178,435",:,
AL03,:,:,:,:,:,"927,405","903,504","887,987","878,527","865,026","853,351",:,
ALXX,:,:,:,:,:,:,:,0,0,:,:,:,
RS11,:,:,:,:,:,:,"1,685,797","1,688,466","1,691,919","1,696,192","1,692,768","1,684,567",
RS12,:,:,:,:,:,:,"1,876,215","1,866,815","1,856,911","1,847,274","1,834,430","1,817,534",
RS21,:,:,:,:,:,:,"1,949,486","1,932,780","1,916,855","1,900,429","1,880,467","1,854,641",
RS22,:,:,:,:,:,:,"1,528,774","1,513,383","1,498,079","1,482,810","1,463,882","1,440,363",
TR10,"13,255,685","13,624,240","13,854,740","14,160,467","14,377,018","14,657,434","14,804,116","15,029,231","15,067,724","15,519,267","15,462,452",:,
TR21,"1,521,328","1,569,388","1,593,247","1,613,616","1,650,735","1,687,420","1,726,260","1,768,368","1,802,315","1,831,151","1,850,565",:,
TR22,"1,642,720","1,640,759","1,654,422","1,665,089","1,700,847","1,700,029","1,715,969","1,735,241","1,767,237","1,770,777","1,781,833",:,
TR31,"3,948,848","3,965,232","4,005,459","4,061,074","4,113,072","4,168,415","4,223,545","4,279,677","4,320,519","4,367,251","4,394,694",:,
TR32,"2,739,188","2,779,765","2,808,243","2,851,086","2,915,188","2,955,825","2,997,720","3,038,325","3,093,015","3,131,322","3,160,772",:,
TR33,"3,005,558","2,942,695","2,965,800","2,985,153","2,995,289","3,013,892","3,043,846","3,065,961","3,100,666","3,119,860","3,133,649",:,
TR41,"3,595,460","3,637,222","3,682,037","3,749,582","3,809,784","3,881,624","3,964,535","4,019,116","4,089,156","4,163,022","4,209,378",:,
TR42,"3,246,147","3,315,463","3,376,330","3,448,702","3,522,353","3,617,728","3,719,652","3,805,481","3,878,979","3,961,953","4,026,438",:,
TR51,"4,771,716","4,890,893","4,965,542","5,045,083","5,150,072","5,270,575","5,346,518","5,445,026","5,503,985","5,639,076","5,663,322",:,
TR52,"2,246,478","2,272,560","2,287,705","2,317,164","2,349,170","2,372,740","2,406,913","2,426,821","2,457,522","2,485,653","2,504,939",:,
TR61,"2,685,499","2,705,254","2,763,541","2,833,306","2,898,240","2,968,561","3,017,280","3,063,005","3,137,694","3,227,410","3,255,704",:,
TR62,"3,733,124","3,776,744","3,808,483","3,855,034","3,892,850","3,928,388","3,975,522","4,010,406","4,034,593","4,078,365","4,127,475",:,
TR63,"3,004,608","3,013,790","3,038,983","3,077,753","3,115,681","3,142,990","3,189,974","3,230,573","3,289,122","3,321,755","3,376,039",:,
TR71,"1,496,296","1,495,630","1,501,311","1,510,080","1,508,199","1,515,228","1,546,995","1,560,774","1,603,688","1,608,193","1,611,789",:,
TR72,"2,352,971","2,348,101","2,351,714","2,363,390","2,378,052","2,379,113","2,401,245","2,416,673","2,461,269","2,467,565","2,476,439",:,
TR81,"1,035,071","1,019,425","1,020,108","1,020,957","1,019,534","1,023,593","1,032,260","1,034,922","1,046,711","1,042,760","1,033,797",:,
TR82,"743,029","739,997","745,525","763,570","756,983","757,711","766,303","765,874","819,468","793,437","785,265",:,
TR83,"2,740,686","2,717,685","2,717,970","2,714,575","2,717,042","2,721,221","2,752,803","2,773,386","2,822,353","2,829,953","2,819,560",:,
TR90,"2,516,167","2,513,021","2,545,274","2,553,647","2,566,840","2,572,850","2,645,584","2,633,417","2,719,113","2,690,180","2,677,584",:,
TRA1,"1,068,446","1,072,848","1,071,878","1,062,345","1,067,560","1,063,789","1,078,207","1,072,404","1,086,156","1,081,652","1,074,620",:,
TRA2,"1,133,660","1,157,546","1,154,277","1,145,257","1,138,766","1,131,570","1,123,161","1,115,810","1,124,898","1,118,370","1,117,833",:,
TRB1,"1,625,158","1,663,811","1,673,852","1,681,719","1,690,843","1,700,468","1,711,847","1,726,199","1,762,077","1,755,735","1,759,327",:,
TRB2,"2,022,373","2,046,027","2,082,470","2,092,863","2,111,068","2,124,349","2,115,729","2,128,670","2,167,642","2,174,672","2,191,967",:,
TRC1,"2,414,833","2,471,979","2,519,139","2,570,208","2,616,082","2,665,265","2,715,553","2,756,910","2,795,617","2,838,319","2,876,408",:,
TRC2,"3,192,329","3,287,197","3,354,242","3,409,417","3,480,715","3,546,516","3,613,746","3,685,654","3,768,205","3,829,967","3,898,687",:,
TRC3,"1,985,610","2,056,997","2,085,092","2,116,727","2,153,921","2,173,759","2,179,588","2,222,601","2,284,158","2,307,332","2,343,826",:,
,,,,,,,,,,,,,
Special value,,,,,,,,,,,,,
:,not available,,,,,,,,,,,,
Available flags:,,,,,,,,,,,,,
bp,"break in time series, provisional",,,,,,,,,,,,
b,break in time series,,,,,,,,,,,,
e,estimated,,,,,,,,,,,,
p,provisional,,,,,,,,,,,,
